product_id,brand,category_lv1,category_lv2,price_band,price_min,price_max,launch_date,core_claims
676917970554,雷尼原创,彩妆,指（趾）甲彩妆,13.0-61.0,13.0,61.0,2023-08-07 11:43:46,加固封层|钢化
677190508690,谷雨,护肤,护肤套装,382.0-953.0,382.0,953.0,2022-07-06 14:14:32,保湿|抗衰|祛斑|美白抗皱|紧致新年限定|水乳
677856050464,蜂花,洗护,洗发护发,20.0,20.0,20.0,2022-07-27 15:05:05,修护|柔顺|滋润抚平毛躁头发洗护
678064478501,洁宜佳,洗涤,衣物清洁护理,30.0-108.0,30.0,108.0,2022-07-13 19:04:59,清洁|漂白去污婴幼产品|爆炸盐
679966959497,HOLIKA HOLIKA,彩妆,眼部彩妆,10.0-39.0,10.0,39.0,2022-10-12 10:45:45,显色|立体单色|哑光|珠光
683942491219,清可新,洗涤,衣物清洁护理,51.0,51.0,51.0,2022-10-21 11:17:45,抑菌|杀菌松木香
684190821799,魅丝蔻,美妆工具,化妆辅助类工具,71.0-112.0,71.0,112.0,2023-04-17 16:11:34,动物毛
684425632015,舒肤佳,洗护,手足清洁,25.0-89.0,25.0,89.0,2022-10-21 11:01:21,抑菌|清洁|留香温和|身体清洁
693550278570,妮维雅,洗护,除臭止汗,27.0-71.0,27.0,71.0,2022-12-15 15:22:09,去异味|止汗|香体去腋臭
695355339247,USVTHY,洗护,美发造型,30.0-81.0,30.0,81.0,2023-03-03 15:18:46,保湿|定型|蓬松
695395624937,红地球,彩妆,面部底妆,59.0-111.0,59.0,111.0,2023-01-05 15:19:21,保湿|打底|隔离妆前面霜|贴贴霜
696754639158,潘婷,洗护,洗发护发,64.0-121.0,64.0,121.0,2023-02-16 11:31:09,修护|去屑|柔顺|清洁|防断发抚平毛躁头发洗护
696764945553,健美创研,彩妆,眼部彩妆,9.0-20.0,9.0,20.0,2023-01-11 16:38:09,持妆|防晕染|防水新手
698639450714,斧头牌,洗涤,家清,25.0,25.0,25.0,2023-07-06 16:45:21,柠檬香|瓶装|香氛
703444179607,可复美,护肤,面部护理,587.0,587.0,587.0,2023-03-01 16:34:59,保湿|修护|滋养|舒缓BFS次抛|次抛
704252166648,丝塔芙,护肤,面部护理,309.0-928.0,309.0,928.0,2023-03-01 17:35:10,保湿|修护|去红|舒缓|补水修护角质层|修红敏感肌
715316575983,ELMEX,口腔护理,儿童口腔护理,50.0-266.0,50.0,266.0,2023-05-30 00:00:00,去异味|固齿|防蛀清新口气含氟|婴幼产品
720041052214,三个魔发匠,洗护,洗发护发,60.0-141.0,60.0,141.0,2023-06-27 15:44:13,去屑|控油|止痒|清洁|舒缓|蓬松改善头痒|深层清洁头发洗护
728215351072,舒肤佳,洗护,洗浴产品,36.0-97.0,36.0,97.0,2023-09-15 16:52:39,清洁家庭装|身体清洁
731415524953,HYUNDAI,美容仪器,头部美容仪,314.0-345.0,314.0,345.0,2023-08-30 16:36:15,男士专用
734978742981,固然堂,洗护,洗发护发,47.0-131.0,47.0,131.0,2023-09-18 11:28:56,修护|滋养|防断发受损修护|头发洗护
736521973562,贝德美,洗护,婴童洗护,75.0-100.0,75.0,100.0,2023-09-06 10:22:19,二合一|多合一|头发洗护|婴幼产品|洗发沐浴露
740845125228,AARYE,护肤,手足护理,80.0-90.0,80.0,90.0,2023-10-14 14:56:26,保湿植萃|联名|香氛
741556056270,造物者,护肤,面部护理,257.0,257.0,257.0,2023-12-07 14:54:38,保湿|抗衰|收缩毛孔|清洁抗皱|淡化细纹|紧致熬夜|精华面膜|蚕丝
741679128301,古迪,美妆工具,化妆辅助类工具,12.0-29.0,12.0,29.0,2023-11-10 10:28:55,斜头|斜角|马毛
742392984642,贝德美,护肤,婴童护肤,10.0,10.0,10.0,2023-10-17 14:21:16,滋润|舒缓舒缓干燥
742684488750,谷雨,护肤,面部护理,10.0,10.0,10.0,2023-11-22 16:45:51,保湿|提亮肤色|美白体验装|奶皮面膜|精华面膜
743501000379,阿古丽娅,护肤,面部护理,44.0,44.0,44.0,2023-12-06 15:33:30,保湿|修护|去痘|控油|滋润|补水
