trend_id,keyword,topic_cluster,heat_index,growth_monthly,platform,captured_at
trend_852ff7cfc0be,脆敏肌,concept,3832,62.86,taobao,2026-02-01 00:00:00
trend_44877acb2511,泵式,concept,107394,60.28,taobao,2026-02-01 00:00:00
trend_f7ca6c1872db,撞色,concept,5530,59.18,taobao,2026-02-01 00:00:00
trend_bf9aadf2c23e,超抗,concept,48954,58.07,taobao,2026-02-01 00:00:00
trend_237c61d4be63,化学防晒,concept,1656,57.26,taobao,2026-02-01 00:00:00
trend_812d283bdcb6,多用液,concept,3165,57.15,taobao,2026-02-01 00:00:00
trend_880407f2b025,体膜,concept,2782,56.56,taobao,2026-02-01 00:00:00
trend_805b44cf70df,无硫酸盐,concept,291,56.45,taobao,2026-02-01 00:00:00
trend_c62c4fac03fa,蒸汽发膜,concept,9523,56.01,taobao,2026-02-01 00:00:00
trend_31f61d90cfe1,葡萄霜,concept,265,55.88,taobao,2026-02-01 00:00:00
trend_134a62aa2638,变色牙膏,concept,5763,55.84,taobao,2026-02-01 00:00:00
trend_7db374bba01f,白绷带,concept,1720,54.12,taobao,2026-02-01 00:00:00
trend_e28de6397699,蜜柚香,concept,94,54.1,taobao,2026-02-01 00:00:00
trend_d7190622d5c2,暖男香,concept,20,53.85,taobao,2026-02-01 00:00:00
trend_0d0a4c0d4a44,SK-II神仙水,concept,89602,53.64,taobao,2026-02-01 00:00:00
trend_89e38f3407ae,云霜质地,concept,3385,52.75,taobao,2026-02-01 00:00:00
trend_7998d09e2e6b,釉唇膏,concept,3975,52.24,taobao,2026-02-01 00:00:00
trend_0b20711f2b86,可撕拉,concept,197130,51.76,taobao,2026-02-01 00:00:00
trend_0439027d0e8e,早A晚A,concept,610,50.25,taobao,2026-02-01 00:00:00
trend_aa17da7d71bc,多用棒,concept,46605,50.21,taobao,2026-02-01 00:00:00
trend_900eced08edb,真空泵,concept,3,50.0,taobao,2026-02-01 00:00:00
trend_abe35987077a,马赛克,concept,3,50.0,taobao,2026-02-01 00:00:00
trend_12bcfb55e1ae,萌虎,concept,15,50.0,taobao,2026-02-01 00:00:00
trend_aa5ff0959218,卸妆泡泡油,concept,3,50.0,taobao,2026-02-01 00:00:00
trend_e6d980844aed,雨衣唇膏,concept,9,50.0,taobao,2026-02-01 00:00:00
trend_c36bd65a4667,定妆膏,concept,26261,49.77,taobao,2026-02-01 00:00:00
trend_537cc9de543d,黑鸦片,concept,19866,49.46,taobao,2026-02-01 00:00:00
trend_6d54d16bcc19,气血感,concept,3017,48.77,taobao,2026-02-01 00:00:00
trend_afdd09dfcd62,氨基酸,concept,197749,47.3,taobao,2026-02-01 00:00:00
trend_91de36d85e0f,革黄素,concept,4931,47.15,taobao,2026-02-01 00:00:00
trend_e6af7b367092,液态唇膜,concept,50,47.06,taobao,2026-02-01 00:00:00
trend_69bd73bb00b4,无毒,concept,76710,46.95,taobao,2026-02-01 00:00:00
trend_e9f31bbd18ff,婴儿粉,concept,1823,46.31,taobao,2026-02-01 00:00:00
trend_ec5ca61b94d8,可叠涂,concept,30939,45.62,taobao,2026-02-01 00:00:00
trend_02449097904a,立体建模唇,concept,2044,45.27,taobao,2026-02-01 00:00:00
trend_8ce003911bf1,植物发酵,concept,7211,45.15,taobao,2026-02-01 00:00:00
trend_ced62d5e691d,大地,concept,30752,44.0,taobao,2026-02-01 00:00:00
trend_1b70a6b43853,神仙水,concept,102781,43.68,taobao,2026-02-01 00:00:00
trend_0c2a6669cd74,卸妆霜,concept,14582,43.38,taobao,2026-02-01 00:00:00
trend_56edba545044,发尾精华乳,concept,43,43.33,taobao,2026-02-01 00:00:00
trend_69855b694968,条状私密洗液,concept,43,43.33,taobao,2026-02-01 00:00:00
trend_bfbe21add63c,无异味,concept,12919,43.21,taobao,2026-02-01 00:00:00
trend_1052fc5e0ea4,斜角,concept,280920,42.43,taobao,2026-02-01 00:00:00
trend_6e2bf8cae2c9,眼部定妆,concept,3527,42.39,taobao,2026-02-01 00:00:00
trend_8c8a9ae07323,爆闪,concept,278907,42.29,taobao,2026-02-01 00:00:00
trend_d0bf58d3f468,凉白开,concept,759,42.13,taobao,2026-02-01 00:00:00
trend_0f5642d24989,双芯睫毛膏,concept,17,41.67,taobao,2026-02-01 00:00:00
trend_fe6042105af6,古风,concept,15685,41.54,taobao,2026-02-01 00:00:00
trend_c59bfc5b4f36,医用级,concept,26950,41.49,taobao,2026-02-01 00:00:00
trend_790d10536517,免烤,concept,344451,41.48,taobao,2026-02-01 00:00:00
trend_19b838c9d342,小帽,concept,264,40.43,taobao,2026-02-01 00:00:00
trend_cc97fc2cec85,盐泥,concept,73,40.38,taobao,2026-02-01 00:00:00
trend_e51899247235,蕾丝眼影,concept,335,39.58,taobao,2026-02-01 00:00:00
trend_e79132d2f6e5,斩女香,concept,2617,38.98,taobao,2026-02-01 00:00:00
trend_7c51967d42c6,微米定妆,concept,374,38.52,taobao,2026-02-01 00:00:00
trend_9e6531b7426e,走红,concept,351,38.19,taobao,2026-02-01 00:00:00
trend_2ccf6756e13b,多用蜜,concept,2514,38.06,taobao,2026-02-01 00:00:00
trend_8026e1febd65,扇形,concept,28993,38.04,taobao,2026-02-01 00:00:00
trend_853ffa65f59c,渐变指甲油,concept,13374,37.61,taobao,2026-02-01 00:00:00
trend_300377760279,雪狐毛,concept,6356,37.46,taobao,2026-02-01 00:00:00
trend_d2d02f4094cb,防晒霜露,concept,2179,37.04,taobao,2026-02-01 00:00:00
trend_c889f7ed7475,拇指粉扑,concept,51445,36.92,taobao,2026-02-01 00:00:00
trend_c6a60cd0f239,微精华水,concept,2545,36.75,taobao,2026-02-01 00:00:00
trend_44d5b06af5a1,唇镜,concept,14709,36.26,taobao,2026-02-01 00:00:00
trend_2533febdf99c,油液精华,concept,7258,36.2,taobao,2026-02-01 00:00:00
trend_8fffc79da188,水油双补,concept,87,35.94,taobao,2026-02-01 00:00:00
trend_939a8d719052,母婴,concept,230548,35.9,taobao,2026-02-01 00:00:00
trend_659d45a8e29e,雕花口红,concept,6659,35.81,taobao,2026-02-01 00:00:00
trend_6bcff9b298db,泪痣笔,concept,13186,35.67,taobao,2026-02-01 00:00:00
trend_42220d35e95b,橙花香,concept,22243,35.31,taobao,2026-02-01 00:00:00
trend_2e2a2b989102,EE霜,concept,23,35.29,taobao,2026-02-01 00:00:00
trend_93f2b67dbe34,红肿青春痘,concept,54,35.0,taobao,2026-02-01 00:00:00
trend_0cf876218b45,玫瑰肌,concept,998,34.86,taobao,2026-02-01 00:00:00
trend_5bda63ccdf2c,浓颜,concept,4479,34.34,taobao,2026-02-01 00:00:00
trend_f7492adc6e97,双色眼影棒,concept,6034,34.06,taobao,2026-02-01 00:00:00
trend_93575d7a6184,发膜霜,concept,18907,34.02,taobao,2026-02-01 00:00:00
trend_747e87db4874,防蹭,concept,31477,33.96,taobao,2026-02-01 00:00:00
trend_2fad7eb17e40,不辣嘴,concept,14753,33.79,taobao,2026-02-01 00:00:00
trend_87ecd513861d,欲感,concept,420,33.76,taobao,2026-02-01 00:00:00
trend_ce564d3f130c,呼吸卸妆油,concept,12,33.33,taobao,2026-02-01 00:00:00
trend_93080f75b974,雪糕唇泥,concept,4,33.33,taobao,2026-02-01 00:00:00
trend_47fff9b66ac2,发际修饰,effect,11568,89.05,taobao,2026-02-01 00:00:00
trend_790d10536517_1,免烤,effect,334086,38.59,taobao,2026-02-01 00:00:00
trend_07745254e41d,除霉,effect,50454,35.31,taobao,2026-02-01 00:00:00
trend_220a15363849,去农残,effect,29911,32.02,taobao,2026-02-01 00:00:00
trend_786d09183326,塑形,effect,65907,29.8,taobao,2026-02-01 00:00:00
trend_5cfaa7473344,强健牙釉质,effect,56518,28.78,taobao,2026-02-01 00:00:00
trend_e346c8ceb808,快干,effect,462887,28.57,taobao,2026-02-01 00:00:00
trend_07a7207842c2,乌发,effect,16531,27.71,taobao,2026-02-01 00:00:00
trend_e30bb3f7c514,修饰肤色,effect,702,26.26,taobao,2026-02-01 00:00:00
trend_4655586f5f75,显白,effect,877108,23.95,taobao,2026-02-01 00:00:00
trend_0a525f8f3b90,防翘,effect,6302,23.86,taobao,2026-02-01 00:00:00
trend_956fb650b6cf,卸甲,effect,201668,19.93,taobao,2026-02-01 00:00:00
